:Rank 1
Elchanan Mossel
George Necula
Ren Ng
James F. O'Brien
Lior Pachter
Christos Papadimitriou
Zachary Pardos
David Patterson
Eric Paulos
Vern Paxson
Raluca Popa
Prasad Raghavendra
Ravi Ramamoorthi
Satish Rao
Sylvia Ratnasamy
Benjamin Recht
Stuart Russell
Koushik Sen
Carlo Sequin
Scott J. Shenker
Jonathan Shewchuk
Alistair Sinclair
Alan Jay Smith
Dawn Song
Yun S. Song
Ion Stoica
Bernd Sturmfels
Luca Trevisan
Doug Tygar
Umesh Vazirani
David Wagner
John Wawrzynek
Katherine Yelick
Nir Yosef

:Rank 5
:University of Illinois-​Urbana-​Champaign
Tarek F. Abdelzaher
Sarita V. Adve
Vikram Adve
Gul Agha
Brian P. Bailey
Mattox Beckman, Jr
Marco Caccamo
Matthew Caesar
Roy H. Campbell
Kevin C. Chang
William L. Chapman
Chandra Sekhar Chekuri
Ryan Matthew Cunningham
Jerry DeJong, II
Jeff Erickson
Wade A. Fagen
Paul Fischer
Margaret M. Fleck
David Alexander Forsyth
Wai-Tat Fu
Maria Jesus Garzaran
P. Brighten Godfrey
William D. Gropp
Carl A. Gunter
Elsa L. Gunter
Indranil Gupta
Jiawei Han
Sariel Har-Peled
John C. Hart
Cinda Heeren
Martin Hellwig
Julia Hockenmaier
Derek W. Hoiem
Sheldon Howard Jacobson
Laxmikant V. Kale
Karrie G. Karahalios
Alex Kirlik
Andreas Kloeckner
Alexandra Kolla
Oluwasanmi Oluseye Koyejo
William T. Kramer
Robin H. Kravets
Ranjitha Kumar
Steven M. LaValle
Svetlana Lazebnik
Darko Marinov
Ruta Mehta
Jose Meseguer
Sasa Misailovic
Sibin Mohan
Klara Nahrstedt
Luke Olson
David A. Padua
Aditya G. Parameswaran
Madhusudan Parthasarathy
Jian Peng
Leonard B. Pitt
Manoj M. Prabhakaran
Grigore Rosu
Dan Roth
Rob A. Rutenbar
Mark Sammons
Lui Sha
Eric Gene Shaffer
Saurabh Sinha
Paris Smaragdis
Marc Snir
Hari Sundaram
Josep Torrellas
Mahesh Viswanathan
Tandy Warnow
Michael Joseph Woodley
Tao Xie
Anna Yershova
Chengxiang Zhai
Craig Zilles

:Rank 6
:cornell
David Albonesi
Erik Andersen
Yoav Artzi
Graeme Bailey
Kavita Bala
Christopher Batten
Serge Belongie
David Bindel
Kenneth P. Birman
Anne Bracy
Claire Cardie
Tsuhan Chen
Yudong Chen
Tanzeem Choudhury
Michael Clarkson
Robert L. Constable
Dan Cosley
Cristian
Nicola Dell
Alan J. Demers
Shimon Edelman
Deborah Estrin
K-Y. Daisy Fan
Nate Foster
Michael D. George
Arpita Ghosh
Carla Gomes
Donald P. Greenberg
David Gries
Francois Guimbretiere
Joseph Y. Halpern
Juris Hartmanis
Haym Hirsh
John E. Hopcroft
Guy Hoffman
Guy Hoffman
Daniel P. Huttenlocher
Thorsten Joachims
Ari Juels
Alon Keinan
Jon Kleinberg
Robert Kleinberg
Ross Knepper
Dexter Kozen
Hadas Kress-Gazit
Lillian Lee
Rajit Manohar
Steve Marschner
Jose F. Martinez
David Mimno
Greg Morrisett
Andrew Myers
Mor Naaman
Anil Nerode
Tim Novikoff
Rafael Pass
Tom Ristenpart
Adrian Sampson
Fred B. Schneider
Bart Selman
Phoebe Sengers
Vitaly Shmatikov
Elaine Shi
David B. Shmoys
E. Gun Sirer
Noah Snavely
Karthik Sridharan
David Steurer
G. Edward Suh
A. Kevin Tang
Eva Tardos
Ross Tate
Ross Tate
Charles Van Loan
Robbert van Renesse
Hakim Weatherspoon
Kilian Weinberger
Walker White
Stephen Wicker
David Williamson
David Williamson
Haiyuan Yu
Ramin Zabih
Zhiru Zhang

:Rank 7
:University of Washington
Richard Anderson 
Ruth E. Anderson
Tom Anderson
Jean-Loup Baer
Magdalena Balazinska
Paul Beame
Adam Blank
Rastislav Bodik
Alan Borning
Luis Ceze
Alvin Cheung
Yejin Choi
Brian Curless
Pedro Domingos
Susan Eggers
Michael Ernst
Oren Etzioni
Ali Farhadi
James Fogarty
Dieter Fox
Zorah Fung
Shyam Gollakota
Dan Grossman
Bruce Hemingway
Sham Kakade
Anna Karlin
Ted Kehl
Ira Kemelmacher-Shlizerman
Tadayoshi Kohno
Arvind Krishnamurthy
Richard E. Ladner
Ed Lazowska
James Lee
Sergey Levine
Hank Levy
Barbara Mones
Allison Obourn
Mark Oskin
Shayan Oveis Gharan
Shwetak Patel
Hal Perkins
Zoran Popović
Anup Rao
Rajesh Rao
Stuart Reges
Katharina Reinecke
Matt Reynolds
Thomas Rothvoss
Larry Ruzzo
Georg Seelig
Steven Seitz
Linda Shapiro
Joshua R. Smith
Dan Suciu
Steve Tanimoto
Zachary Tatlock
Emanuel Todorov
Martin Tompa
Emina Torlak
Daniel S. Weld
John Zahorjan
Luke Zettlemoyer

:Rank 8
:Princeton University
Andrew Appel
Sanjeev Arora
David August
Sandra Batista
Mark Braverman
Bernard Chazelle
David Dobkin
Robert Dondero
Zeev Dvir
Barbara Engelhardt
Nick Feamster
Christiane Fellbaum
Edward Felten
Adam Finkelstein
Robert Fish
Michael Freedman
Thomas Funkhouser
Donna Gabai
Maia Ginsburg
Ananda Gunawardena
Aarti Gupta
Elad Hazan
Kyle Jamieson
Alan Kaplan
Brian Kernighan
Andrea LaPaugh
Daniel Leyzberg
Kai Li
Xiaoyan Li
Jérémie Lumbroso
Margaret Martonosi
Christopher Moretti
Arvind Narayanan
Larry Peterson
Iasonas Petras
Jennifer Rexford
Szymon Rusinkiewicz
Robert Sedgewick
Sebastian Seung
Jaswinder Singh
Mona Singh
Robert Tarjan
Olga Troyanskaya
David Walker
Kevin Wayne
Jianxiong Xiao

:Rank 9
:Georgia Institute of Technology 
Gregory Abowd
Mustaque Ahamad
Srinivas Aluru
Mostafa Ammar
Annie Antón
Ronald Arkin
Rosa Arriaga
David A. Bader
Albert Badre
Mohammad Taha Bahadori
Tucker Balch
Rahul Basole
Michael Best
Ian Bogost
Alexandra Boldyreva
Byron Boots
